1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
19	19/SN
엠마누엘	엠마누엘/NNP
웅가로	웅가/NNP+로/JKB
/	//SP
의상서	의상/NNP+서/JKB
실내	실내/NNG
장식품으로…	장식품/NNG+으로/JKB+…/SE
디자인	디자인/NNG
세계	세계/NNG
넓혀	넓히/VV+어/EC
프랑스의	프랑스/NNP+의/JKG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
의상	의상/NNG
디자이너	디자이너/NNG
웅가로가	웅가로/NNP+가/JKS
장식용	장식/NNG+용/XSN
직물	직물/NNG
디자이너로	디자이너/NNG+로/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF
목욕가운부터	목욕/NNG+가운/NNG+부터/JX
탁자보,	탁자보/NNG+,/SP
냅킨,	냅킨/NNG+,/SP
앞치마까지	앞치마/NNG+까지/JX
그가	그/NP+가/JKS
디자인한	디자인/NNG+하/XSV+ㄴ/ETM
작품들에서	작품/NNG+들/XSN+에서/JKB
두드러지는	두드러지/VV+는/ETM
것은	것/NNB+은/JX
색의	색/NNG+의/JKG
조화다.	조화/NNG+이/VCP+다/EF+./SF
남미풍의	남미/NNP+풍/XSN+의/JKG
강렬한	강렬/XR+하/XSA+ㄴ/ETM
원색끼리의	원색/NNG+끼리/XSN+의/JKG
조화,	조화/NNG+,/SP
수채화	수채화/NNG
같이	같이/MAG
안온한	안온/NNG+하/XSA+ㄴ/ETM
배색	배색/NNG
등	등/NNB
분위기를	분위기/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
기하학적	기하학/NNG+적/XSN
무늬,	무늬/NNG+,/SP
꽃무늬	꽃무늬/NNG
디자인이	디자인/NNG+이/JKS
주류를	주류/NNG+를/JKO
이루고	이루/VV+고/EC
있다.	있/VV+다/EF+./SF
웅가로는	웅가로/NNP+는/JX
"	"/SS
장식품을	장식품/NNG+을/JKO
디자인할	디자인/NNG+하/XSV+ㄹ/ETM
때	때/NNG
옷을	옷/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
때와는	때/NNG+와/JKB+는/JX
다른	다른/MM
해방감을	해방감/NNG+을/JKO
느낀다	느끼/VV+ㄴ다/EC
고	고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF
매일	매일/MAG
욕실에서	욕실/NNG+에서/JKB
1시간	1/SN+시간/NNG
반	반/NNG
이상을	이상/NNG+을/JKO
보낸다는	보내/VV+ㄴ다는/ETM
그는	그/NP+는/JX
체조와	체조/NNG+와/JC
텔레비전	텔레비전/NNG
시청,	시청/NNG+,/SP
식사까지	식사/NNG+까지/JX
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VX+는/ETM
욕실이	욕실/NNG+이/JKS
나와야	나오/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장할	주장/NNG+하/XSV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF
1993/06/10	1993/SN+//SP+06/SN+//SP+10/SN
18	18/SN
여름	여름/NNG
주방	주방/NNG
생활	생활/NNG
용품	용품/NNG
빙수	빙수/NNG
-	-/SS
샤베트기…	샤베트기/NNP+…/SE
안방서	안방/NNG+서/JKB
더위식힌다	더위/NNG+식힌/VV+다/EC
얼음	얼음/NNG
대신	대신/NNG
쓰는	쓰/VV+는/ETM
아이스팩도	아이스팩/NNG+도/JX
인기	인기/NNG
국산	국산/NNG
다양…	다양/NNG+…/SE
성능	성능/NNG
외제에	외제/NNG+에/JKB
손색	손색/NNG
없어	없/VA+어/EC
빙수기,	빙수기/NNG+,/SP
샤베트기,	샤베트기/NNP+,/SP
물통	물통/NNG
용품이	용품/NNG+이/JKS
인기다.	인기/NNG+이/VCP+다/EF+./SF
특히	특히/MAG
여름철	여름철/NNG
더위를	더위/NNG+를/JKO
식히는	식히/VV+는/ETM
데	데/NNB
최고인	최고/NNG+이/VCP+ㄴ/ETM
빙수를	빙수/NNG+를/JKO
만드는	만들/VV+는/ETM
기계는	기계/NNG+는/JX
소비자들이	소비자/NNG+들/XSN+이/JKS
가장	가장/MAG
많이	많이/MAG
찾고	찾/VV+고/EC
품목.	품목/NNG+./SF
그동안	그동안/NNG
외제	외제/NNG
일색이던	일색/NNG+이/VCP+던/ETM
빙수기가	빙수기/NNG+가/JKS
올해는	올해/NNG+는/JX
국산이	국산/NNG+이/JKS
많아져	많/VA+아/EC+지/VX+어/EC
눈길을	눈길/NNG+을/JKO
더한다.	더/MAG+하/XSV+ㄴ다/EF+./SF
고명으로	고명/NNG+으로/JKB
얹는	얹/VV+는/ETM
삶은	삶/NNG+은/JX
단팥과	단팥/NNG+과/JC
찰떡,	찰떡/NNG+,/SP
젤리	젤리/NNG
포장도	포장/NNG+도/JX
나와	나오/VV+아/EC
플라스틱으로	플라스틱/NNG+으로/JKB
만든	만들/VV+ㄴ/ETM
샤베트기는	샤베트기/NNP+는/JX
수입품이	수입품/NNG+이/JKS
대부분이다.	대부분/NNG+이/VCP+다/EF+./SF
얼음을	얼음/NNG+을/JKO
얼리는	얼리/VV+는/ETM
얼음틀도	얼음틀/NNG+도/JX
하트형	하트/NNG+형/XSN
원형	원형/NNG
타원형	타원/NNG+형/XSN
사각형	사각/NNG+형/XSN
갖가지	갖가지/NNG
모양이	모양/NNG+이/JKS
필수품이다.	필수품/NNG+이/VCP+다/EF+./SF
얼음은	얼음/NNG+은/JX
녹으면서	녹/VV+으면서/EC
물이	물/NNG+이/JKS
생겨	생기/VV+어/EC
지저분해지는데	지저분/XR+하/XSA+아/EC+지/VX+는데/EC
비해	비하/VV+아/EC
아이스팩은	아이스팩/NNG+은/JX
플라스틱	플라스틱/NNG
통	통/NNG
안에	안/NNG+에/JKB
든	들/VV+ㄴ/ETM
내용물이	내용물/NNG+이/JKS
얼었다	얼/VV+었/EP+다/EC
녹았다해서	녹/VV+았/EP+다/EC+하/VX+아서/EC
훨씬	훨씬/MAG
깨끗하며	깨끗/XR+하/XSA+며/EC
반영구적으로	반영구/NNG+적/XSN+으로/JKB
쓸	쓰/VV+ㄹ/ETM
물안경	물안경/NNG
일반	일반/NNG
아동용	아동/NNG+용/XSN
4천원선…	4/SN+천/NR+원/NNB+선/NNG+…/SE
렌즈	렌즈/NNG
굴절력	굴절력/NNG
내구성	내구/NNG+성/XSN
잘	잘/MAG
살펴야	살피/VV+어야/EC
현재	현재/MAG
시중에	시중/NNG+에/JKB
제품은	제품/NNG+은/JX
도수	도수/NNG
안경과	안경/NNG+과/JC
제품이	제품/NNG+이/JKS
있고	있/VV+고/EC
크기에	크기/NNG+에/JKB
따라서는	따르/VV+아서/EC+는/JX
아동용과	아동/NNG+용/XSN+과/JC
성인용으로	성인/NNG+용/XSN+으로/JKB
구분된다.	구분/NNG+되/XSV+ㄴ다/EF+./SF
물안경은	물안경/NNG+은/JX
시력	시력/NNG
0.03에서	0/SN+./SP+03/SN+에서/JKB
0.3까지	0/SN+./SP+3/SN+까지/JX
시력에	시력/NNG+에/JKB
따라	따르/VV+아/EC
